deficiency_code,annotation_severity,InspectionDate,PortId,VesselGroup,age,deficiency_finding,description_overview,immediate_causes,root_cause_analysis,corrective_action,preventive_action,detainable_deficiency
3103,Low,2023-06-07,1001128,Dry Bulk,10.847364818617386,There is a Ladder without Wood Chock on the Port Side.,Some medicines and equipment expired and were kept in a medical store.,The old chock was not replaced in time.,The old chock was not replaced in time.,The new chock was installed during the inspection.,"All Gangways, including the midship pilot gangway, should be inspected periodically for the condition of the chocks and other fittings.",No
7119,Low,2022-10-31,1413,Dry Bulk,11.501711156741958,Exhaust manifolds have insufficient heat insulation.,Fire-fighting equipment.,Lack of awareness of the importance of securing spare parts.,The company was overlooked because of the lack of fire fighting inspection regs.,Exhaust manifolds covered by insulation material.,The lesson learnt was sent to the fleet to verify the condition of the vessel.,No
1315,High,2023-05-08,722,Dry Bulk,22.34633812457221,"The oil record book part I shall be completed on each occasion, on a tank-to-tank basis if appropriate.","According to the log review, the oily water separator entered manual operation on the 17th of March.",Load Line requirements are not followed.,Commplacency and underestimation of the criticality of the task is one of the root causes of non conformity.,"After the vessel's departure, C/E will be temporarily replaced, with pay, and immediately assigned to formal training for the proper and consistent maintenance of the Oil Record Book, before returning to active duty.","Information about the case, several Technical letters and Bulletins for review and discussion, in regards to proper operation of OWS and entries on Oil Record Book are included.",Yes
9204,Medium,2024-04-04,724,Dry Bulk,13.431895961670088,The spreader on the pilot ladders was found to have increased clearance.,The clearance on the main deck is excessive.,Substandard acts.,"The pilot ladders received onboard on 16-Nov-2022 and with apparent normal condition, but the PSC inspector insist that some clearance to be adjusted as per the requirement of the pilot.",The Deficiency closed after the ship' crew conducted adjustment according to the inspector's recommendation.,The deck appliance/fitting should be inspected and maintained as per the instructions in the maker's instruction manual.,No
1209,Not a deficiency,2023-07-21,439,Dry Bulk,13.221081451060916,"Manning specified by the minimum safe manning doc, but the presence of a certified cook on board is not a requirement for MSMD.",The cook on board is not provided by MSMD.,The office was told.,A re-issuance of the MSMC was shown despite the fact that the minimum number of persons required in the capacity of a Cook was shown in the flag administration marine notice.,Immediately contacted the Flag Administration for a re- issuance of MSMC.,MSMC was re-issued.,No
18201,Medium,2024-03-21,1122,Chemical,4.553045859000685,There was insufficient rest for the Chief Officer during cargo operations in February and January and for the Chief Engineer and 4th engineer during Bunkering.,All of the vessels managed by the company are equipped with a dedicated software that is used to electronically maintain the hours of work and rest records by the onboard crew.,The vessel was unable to apply the stencil in time due to the sudden berthing schedule.,There was a lack of planning for rest hours for crew members.,"After the inspection, a training session was held where the company's work-rest hour policy was discussed.",All vessels are reminded to use the pre planning module in the ISF watchkeeper to identify potential violations to have the mitigation measures placed in advance.,No
4103,Medium,2023-09-21,3203,Dry Bulk,4.054757015742642,"Emergency systems, lighting, batteries, and switches are on the main deck.",All cargo has hatch cover.,Minor leaks came up due to exposure.,Emergency stop boxes were not checked.,Emergency boxes were freed during the PSC inspection.,"To make sure emergency stop boxes and emergency switches are not missed in the future, a routine has been introduced.",No
11127,Low,2024-04-30,1318,Dry Bulk,18.57905544147844,The Lifebuoy is damaged.,There was a weak fire alarm in the engine room.,The crew on duty did not follow the rules.,"Lack of supervision on board and neglect to comply with the company's Precautionary Inspection, maintenance Period and Distribution.",The life buoy on board was checked and found to be in good condition.,The supervision of the inspection of life-saving and fire-fighting equipment on board should be strengthened.,No
14616,Low,2023-02-14,2302,Dry Bulk,10.956878850102669,The sea water outlet pipe has a big margin of error.,The deficiency identified by the PSCO was dealt with by the CCS on board the vessel at the port of Zhoushan.,None was identified.,"No lack of standards, no lack of compliance, and no lack of planning were identified by the root cause analysis.",I don't know.,The next Safety Committee Meeting will discuss deficiency at the end of March.,No
13108,Low,2022-11-07,2872,Dry Bulk,7.8494182067077345,The condition of the ship and its equipment will be maintained to conform with the provisions of the present regulations to ensure that the ship in all respects will remain fit to proceed to sea without danger to the ship or persons on board.,Non-Conformity was rectified on April 20.,There is a lack of situational awareness.,The Master and Chief Engineer failed to follow up the requests for spare parts that were made to the Management Office.,The F.O. and L.O. purifiers were found in good running condition during the dry docking.,"If spare parts are needed, the Management Office should be contacted immediately and the machineries and equipment should be in good working order.",No
11104,Low,2023-10-16,2724,Dry Bulk,14.78713210130048,The headline is not connected to the rescue boat.,Rescue boat davit slewing is slow.,Wear and tear.,The line was kept aside in the boat because of the lack of familiarity with the requirements.,The officer was told to connect the headline back to the rescue boat.,Make sure the headline is connected to the rescue boat.,No
9223,Low,2023-05-26,2302,Dry Bulk,13.234770704996578,The safety pin of CO2 cylinders needs to be removed.,Bulk carriers add safety measures.,Poor certificate management by Master resulted in EIAPP certificate not being returned to certificate file folder.,Insufficient knowledge by attending the RINA Surveyor to issue the proper EIAPP Certificates.,The maker of the CO2 system confirmed that the safety pin should not be removed from the safety position.,There is no need for preventive measures.,No
11112,High,2022-11-04,1000383,Dry Bulk,13.259411362080767,There are plans for survival craft.,"During the abandon ship drill, the crew couldn't demonstrate the launching of the lifeboat.",The records and photographic evidence of the last drill were verified by the inspector.,Aging and inadequate maintenance are to blame for material failure.,"The first time the lifeboat was launched, it was not timely and an additional internal audit was carried out.",The deficiency along with corrective and preventive actions will be discussed during the next Safety Committee Meeting.,No
14899,Medium,2023-03-06,1633,Dry Bulk,0.7611225188227242,There is a need to perform manual cleaning of the backflush motor filter.,The discharge of water in a port is not required.,The sewage treatment plant was out of order.,Lack of Maintenance as per maker's procedures.,I don't know.,I don't know.,No
18406,Low,2023-11-22,1366,Dry Bulk,11.890485968514716,Outside light is partly dirty.,Cargo hold entrance hatch No. 2 and No.5 are not able to close properly.,Didn't report the broken equipment to the company.,The Company has established procedures to ensure that vessels are maintained in accordance with the provisions of the PMS.,The crew cleaned the globe after the PSC Officer pointed out the deficiency.,The necessary corrective and preventive action plan has been issued by the company.,No
10123,Low,2024-02-22,4146,Dry Bulk,3.3073237508555784,The International Code of SignAL-SOLAS was missing.,survival craft,The crew could not show that the International Code of Signals was updated with the latest amendment.,The crew thought that maintaining a soft copy would comply with the requirements.,"The corrective action was demonstrated to the satisfaction of the attending PSCO, who closed the deficiency with code International Code of Signals 10.",The Master has been instructed to cross-check the updates carried out by the responsible officer on a random basis.,No
18418,Medium,2023-04-21,524,General Cargo,11.80561259411362,Winches and capstans.,Brake lining is worn out and in poor conditions.,Substandard acts.,The brake lining condition had been observed and parts were ordered and delivered.,New brake liners were installed.,The thickness of the brake lining will be included in the form.,No
1220,Medium,2023-02-07,1459,Dry Bulk,11.268993839835728,The latest wage scale as agreed in the Collective Bargaining Agreement is not applied in the seafarer employment agreements.,The payroll and wage adjustment payment for the month of January will be included in February payroll when the Hong Kong CBA wage scale is implemented.,Engine Cadet has exceeded 44 hours of work with a total of 118.6 hours excess OT since he joined the vessel.,"System factors are non conformance to Legislative rules or regulations, Seaway Restrictions, Inadequate SHE Control, Wear and Tear, and not related to Lack of Maintenance.",The Seafarer is expected to work in excess of normal working hours as required for the safe and efficient operation of the business.,"Monitoring/planning onboard cadets training, work hours and keep relevant documentation readily available during a PSC inspection in order to avoid any remarks or non-conformities noted on the report.",No
18304,Low,2023-04-24,1366,Dry Bulk,20.643394934976044,The light is partly elec. wire loose.,The light electrical cables weren't fastened properly during the inspection.,There are human factors.,The cable supporting elements have been worn due to stress.,"To the satisfaction of attending PSC inspectors, I secured sagging wires using cable bands.",The Chief Engineer conducted a training session for all Engine Officers and Electricians on 24 April 2023.,No
1313,High,2022-08-30,1459,Dry Bulk,2.6611909650924024,"When cargo operations were already well underway, the unloading plan was not the representative of the stevedore.","When the gasket of the steam line gave way, PSCO did the E/R inspection at the same time.",The terminal representative couldn't understand English and refused to sign the unloading plan.,There was no foreman who came on-board to sign the unloading plan.,"After foreman signed the unloading plan, it was shown to PSC.","To avoid any problems from the authorities, it is necessary for the Foreman to sign the Discharging plan prior to Cargo operation.",No
1218,Low,2023-06-24,3417,Dry Bulk,7.060917180013689,"A/B, C/Ck, Messman, and many other Phillipino seafarers have valid medical fitness certificates that are in excess of 2 years.",Incorrect wages were not in line with minimum wages as indicated in the CBA wage scale.,Clarifications were given to the inspector.,"The date shown on the ""fit to work"" section should be the same as the date shown on the medical certificates.","The managers ordered the clinic to re-issue all medical certificates after two years after the ""fit to work"" date.",The managed fleet was told to check all medical certificates on board and to confirm compliance.,No
11125,Low,2024-03-21,3160,Dry Bulk,13.30321697467488,There is a light for embarkation of a rescue boat.,The standard compass error was not determined by a watch.,Wear and tear.,Wear and tear.,The light was repaired after the PSC inspection.,The Master was told to include theciency in the agenda of the next safety meeting.,No
15105,High,2023-07-15,4351,Dry Bulk,7.534565366187543,The company is unable to ensure the crew are well trained and organized.,The crew can't demonstrate the alarm's function because they don't know the system.,"There is no compliance with procedures, permits, or safe working practices.",The deficiencies that were pointed out were not taken into account.,"Ensure the proper familiarization and training of the master, officers and crew are carried out regularly.",To inform all managed vessels about the deficiency to avoid a similar point out item during a PSC inspection.,No
14119,Low,2024-04-12,2113,Dry Bulk,9.117043121149898,There is oil leaking from the doors of the building.,A/E were running on load for cargo operation.,It is closed and not filled.,Poor seal between the gasket and the engine frame caused the oil leak from the crankcase doors.,"After the gasket replacement, the auxiliary engines were tested under load and found to be operating normally.",The crew was briefed about the importance of replacing the gasket after the Crankcase inspection.,No
18321,Medium,2023-11-09,2434,Container,20.76933607118412,The ECR air conditioning cooling unit does not work in cooling mode.,The boat cooling water port was blocked by a fire.,"After the last tryout/ testing on 21st January, the ship staff failed to carry out the post operational test to ensure no obstruction on the cooling water inlet mesh.",There is a root cause of the deficiency.,The crew of the engine's crew had to fix the leaking engine's crew air condition.,All officers and crew will be involved in the monthly safety committee meeting to discuss all the deficiencies.,No
2135,High,2023-08-24,3284,Dry Bulk,11.89596167008898,"The Master is instructed to notify class and arrange for their recording or agreement to repair for the damage not later than January 9, 2023.",The QHSE team will be notified if the risk rating is high.,The electrician was asked to fix the lights.,"The root cause of this incident is the crew's inability to follow Company's procedures, proper reporting, coordination of task on hand and lack of proper inspection.","In the meantime, the condition will be monitored and will be in close contact with classification society.","Since it is a case that should have been communicated to the company, it was communicated to the crew.",No
9111,Medium,2023-11-02,3031,Dry Bulk,13.075975359342916,Sickbay is not required to use a store room.,Steering gear room has an oil store.,There are human factors.,The mattress is stowed in the sick bay temporarily as the place the mattress is used by the stevedores at the port.,"The sick bay was kept free from any other stores except hospital equipment and medicine, and good hygiene was maintained because the mattress was stowed before.",There is a requirement for all crew/officer awareness and compliance.,No
1215,High,2022-08-31,3152,General Cargo,9.500342231348393,The application for endorsement by the flag state is not available.,The lifeboat engine did not start.,The established procedure was not followed.,The 2nd mate lost the applications before the port arrival.,The Crew department sent the 2nd Engineer's application again.,The Master gave the documents to the 2nd and 3rd officer.,No
4121,High,2023-05-30,1439,Chemical,4.246406570841889,"On June 1, 2023, the vessel received a new fireman outfit and a new fire man outfit.",A fireman was not wearing the correct fireman's outfit as the crew was unable to perform a satisfactory fire drill.,The correct donning procedure was explained to the crew members after they were briefed on the inspector's concern.,The orientation on the fire drill was inadequate.,"On June 1, 2023, the vessel received a new fireman outfit and a new fire man outfit.","To avoid further argument with EU PSCO, the company fleet's fireman outfit will be replaced with a new standard.",No
11123,Low,2024-04-22,2135,Dry Bulk,11.304585900068446,The number of the two-way vhf radiotelephone apparatus is not indicated in the location.,There is a training booklet in the mess rooms.,The requirement of posting the number of sets next to the symbol wasn't realized by the responsible officer.,The number of the two-way vhf radiotelephone apparatus was not marked on the cabinet of portable radio.,The number of the two-way vhf radiotelephone apparatus was posted immediately by the deck crew.,The details of this deficiency will be shared with the fleet management for the attention of Masters and involved crew members.,No
3109,Medium,2023-06-02,1002414,Dry Bulk,18.748802190280628,There was a short rubber packet on the skylight cover.,The auxiliary engine number 1 fuel oil leak alarm system was bypassed.,The original rubber packets for the skylight cover of E/R have been removed for coaming maintenance purpose.,"Insufficient work, production standards, and inadequate risk identification are some of the root cause-job factors.","Upon completion of the maintenance work, the new rubber packet was restored back.","To ensure that the warning signs are posted in the vicinity of the work areas onboard, the training is to be carried out.",No
18423,Low,2023-08-04,457,Dry Bulk,21.75496235455168,Not available during inspection for chemicals stored in forecastle.,The forecastle was often covered with sea splash due to the bad weather and low freeboard.,The crew was told to separate the chemicals in the locker.,The deck crew did not know how to use the chemical management procedure.,Put the MSDS next to the chemicals in the forecastle store.,Put the MSDS next to the chemicals in the forecastle store.,No
3102,Medium,2023-02-23,3203,General Cargo,23.06091718001369,There are tight conditions.,"The starboard side freeboard marks, forward and middle draft marks, and Plimsoll mark are not fully painted.","The vessel has been at the last port of Iquique, Chile for more than a month and failed to clean the hull due to restrictions.",There was a lack of supervision and compliance with the maintenance plan.,The port authority gave permission for the marks to be painted.,Inspection hull condition should be carried out regularly during stay in ports.,No
1329,Low,2022-07-05,1319,Dry Bulk,9.839835728952773,A copy of the report was posted on the ship's notice board.,The certificate on board was not valid.,Delays of maintenance were caused by previous port restrictions.,The present system of Class Audit was not understood by the company.,The company gives the audit record to the vessel.,The audit record was not issued by the class auditor due to the shift to electric data base.,No
10124,Medium,2023-03-15,1273,General Cargo,7.871321013004791,The navigation bridge has a table of life-saving signals missing.,There are life-saving signals missing on the navigation bridge.,The crew did not realize that fire rounds come under work hours and missed out on recording the same.,Insufficient safety checks by the Master and Safety Officer during their safety rounds.,The Table of Life saving signals on the Bridge were immediately posted.,"To maintain oversight and ensure that all required posters are posted on the navigation bridge and other areas on the vessel, the master must be a safety officer.",No
18317,Low,2022-07-06,1134,Dry Bulk,9.593429158110885,The galley and provision room are not sanitary.,The inspector pointed out that the second officer didn't set up the station code.,There is a missing log in the official logbook.,The galley and provision store must be kept in a sanitary condition as per the requirements of the Maritime Labor Convention 2006 Management Manual.,The crew cleaned the galley and provision store.,Master should improve the inspection of the galley and provision store.,No
1199,Low,2023-07-25,1439,Dry Bulk,12.56125941136208,"The Master cannot verify the information contained in the electronic certificate, including confirmation of periodic endorsements, when necessary because the vessel is carrying digitally issued certificates by Flag Administration and R.O.",The service confirmation for the Voyage data recorder expired.,The missing authorisation letter was immediately sent to the vessel by the office.,There is no internet access on the vessel.,An electronic certificates file procedure was received.,"Since all documentation is handled by the office, it is not necessary to fit Alrayan with internet.",No
14502,Low,2023-06-12,3152,Dry Bulk,12.114989733059549,The Gaga card was thrown on theOOP deck.,The exposed area caused the garbage placards to fade.,There are human factors.,The placards were degraded as a result of the decks being exposed and the external accommodation being washed at regular intervals.,New placards were posted on the faded ones.,The vessel was told to carry out the PSC checks diligently.,No
4118,Medium,2022-07-13,1993,Dry Bulk,10.03148528405202,The drill report was not real.,The crew did not know how to wear a fireman's outfit.,The space drill report was immediately corrected.,The enclosed space entry and rescue drill reports were unrealistic according to PSCO.,The crew will repeat the drill in front of the PSC.,The master needs to teach the crew with abandon ship drill procedures.,No
18416,Medium,2023-12-22,2727,Dry Bulk,11.222450376454484,Mooring line one no. at stern and two nos. at forward slack.,Mooring line one no. at stern and two nos. at forward slack.,There are human factors.,Not proper monitoring and not properly defined procedures.,Instructions for proper monitoring of mooring lines tension and balancing adjustment were immediately given to all crew members.,The newly developed mooring management plan was shared with the crew.,No
14499,Low,2023-02-10,3141,Dry Bulk,17.61259411362081,"After treatment, sewage water is collected through the pipe to the peak tank which is not marked on the cert.","After treatment, sewage water is collected through the pipe to the peak tank which is not marked on the cert.",The valve that goes to the sewage treatment unit is not rotating.,There are issues with the sewage holding tank in the sewage treatment system.,"In response to the identified non-compliance issue, the master suspended the collection of sewage for about 12 hours until sailing, effectively managing 15 metric tons of water.","In order to prevent the recurrence of the same in the future and to improve the safety standard, all deficiencies will be shared with the whole fleet vessels.",No
6107,Low,2023-12-13,4212,Dry Bulk,7.931553730321697,The communication method was not completed before the ship arrived at the port.,"After mooring operations by the Aft mooring team, the Winch clutch lever was not put in place.",The information on the Communication method was missing in the ship/shore checklist.,There are personal facts about inadequate practice and inadequate coaching.,The training is done by the master to duty officer.,Sharing of deficiency is a way to prevent re-occurrence.,No
1331,Medium,2023-08-03,1459,Dry Bulk,12.09034907597536,The valid collective bargaining agreement is not available on board.,The Collective Bargaining Agreement has been forwarded to all managed vessels by the Crew department.,"Same was not immediately presented to the PSC Inspector, which resulted in the PSC deficiency.",The PSC Inspector received the CBA after a few minutes.,The Classification Society was invited to conduct an Occasional Survey.,There are existing operating procedures for vessels.,No
14402,Low,2024-03-21,3083,Dry Bulk,18.72142368240931,There are no chlorine tablets in the sewage treatment plant.,The watchkeepers missed a chance to check the contents of the compartment for chlorine tablets.,The valve that goes to the sewage treatment unit is not rotating.,The checks to make sure the quantity of chlorine tablets was enough were not effective.,There was a note posted near the chlorinator to check for chlorine tablets.,Training is carried out for all crew members to confirm compliance with the work order.,No
8105,Medium,2024-04-02,3570,Liquefied Gas,6.165639972621492,"Engine room, fire alarm panel, steering gear, and one yellow and green rotation lamp are not working.",The rudder angle indicator was not showing the same angle as the bridge repeater.,"During control testing, the navigation lights were found to be in good order.",The Engine Room alarm indicators were found to be malfunctioning during the Engine Room inspection.,The sound alarm was restored after the electric wire was re- connected.,"In order to avoid the re-occurrence of the problem, the Electrician has been recommended to check all connections for proper tightening during the periodic PMS check and all lamps to be checked as required by the work orders.",No
18311,Medium,2024-05-25,2393,Dry Bulk,11.813826146475018,There are recreational facilities and a mess room.,There was no fitness equipment in the gym.,The crew kept excessive mineral drinking water in his cabin.,The officer in charge neglected the requirements of the company.,"It was reported to the company, discussed the deficiency and analyzed the cause.",Master should strengthen supervision and inspection on board in order to avoid similar defects.,No
3104,Medium,2023-09-12,3457,Dry Bulk,10.532511978097194,There are three hatch covers cylinders that are leaking on the main deck.,Bulk carriers add safety measures.,Defective equipment includes jack plugs.,The cylinder oil seal is senescent.,The spare parts can be renewed by the assembly cylinder.,Walk around inspection is one way to improve the standard and responsibility of management in shipboard maintenance.,No
7105,Medium,2023-10-24,2135,Dry Bulk,8.396988364134154,The fire doors can't be closed tightly.,The vessel's overall appearance was found to be satisfactory.,The fire door doesn't have an adjustment to lock.,Poor maintenance and inspection.,The door leading to the bridge was adjusted.,The Chief Officer was briefed by the Master to include this item in the weekly routine inspections.,No
18416,Medium,2024-04-25,5004,Dry Bulk,18.899383983572896,The mooring rope at the poop deck is in bad shape.,The cargo holds line 3 has a smoke sampling fire detection system.,There are human factors.,The ship staff failed to inspect the ship.,The mooring ropes on the poop deck have been renewed by the ship's staff.,The mooring ropes must be inspected every now and then as well as before and after use.,No
14499,Low,2023-01-12,2302,Dry Bulk,12.227241615331964,Sewage holding tank is leaking.,Sewage holding tank is leaking.,Clarifications were given to the inspector.,The inspector found a leak at the sewage holding tank.,The bolts were tightened and the leak was fixed to the satisfaction of the PSC officer.,The daily Engine UMS checklist was further enhanced to request sewage check for leak on daily basis and non-conformity was issued as per Company's procedures for all PSC findings.,No
18327,High,2022-12-21,3595,Dry Bulk,40.88432580424367,There is a lack of maintenance on the ventilation system on board.,The INMARSAT-C date role has been replaced due to old software.,Direct is Tear and Wear.,Insufficient leadership or supervision.,The Steering Gear Room Stbd Side had ER Vent Ducting repaired with galva tin sheeting.,Managers are to be kept fully aware of any defects that can't be fixed.,No
1104,Low,2023-10-11,1004,Dry Bulk,11.277207392197123,There is a cargo ship safety radio.,The boat and socks are missing.,Failure to check tools prior to use of equipment is a human factor.,The concerned officer was unaware of the requirement to have drain socks fitted to the rescue boat drain.,Rescue boat drain socks were put in place by the AMSA inspector.,The Life Saving appliance Maintenance Plan has instructions on the monthly check of rescue boat drain socks.,No
18408,High,2023-08-01,3284,Dry Bulk,0.4188911704312115,There is welding equipment that is not properly sealed at penetration.,"One deficiency was identified during the PSC in Shibushi, Japan.",Failure to follow instructions.,"Although vessel is a new building and constructed as per latest applicable regulations and standards, during inspection PSC Officer shook the cable from welding equipment resulting to partial dislocation of putty at penetration.",Penetration was upgraded in order to satisfy the PSC request and prevent future comments.,The safety committee will discuss the matter at the next meeting.,No
2108,Low,2024-02-27,953,Dry Bulk,11.739904175222453,There is a steering gear compartment.,The steering gear compartment has electric cables near the securing tray.,The vessel did not have to have certs onboard.,Good maintenance is not kept onboard.,All wasted cable ties have been replaced with new ones.,"Senior officer keep an eye on crew maintenance work, ensure all work is done correctly, and check crew work during a ship visit.",No
18418,Medium,2024-01-23,1439,Dry Bulk,11.321013004791238,The path of the M5-2 was worn out and parts were missing.,Brake lining is worn out and in poor conditions.,There are human factors.,Lack of inspection is a basic underlying cause.,"Due to the use of tensioned mooring ropes and the worn out break path, the roller will be changed in due time.",Instructions and training should be done by the crew.,No
15111,Medium,2023-01-05,1318,Dry Bulk,9.848049281314168,"The last master review record was found on the board, but there were no records of the annual master review.",The previous Master uploaded the document into the system prior to the due date.,Poor record keeping.,There is insufficient management of change.,"The Annual Master's review of the year 2022, was printed out and filed.","A work order has been created to alert the vessel when the Annual Master's SMS review is due, and the requirement to attach.",No
10118,High,2023-04-24,21,General Cargo,7.145790554414784,There was no evidence of flag notification of defect or flag agreed equivalance on board.,The observations were made due to the emergency changing of the ship management team and inadequate handovers.,Failure to comply with flag rules.,The office did not report the inoperative speedlog.,The flag should be given to the office.,"When equipment becomes inoperative, Flag should be informed.",No
1132,Medium,2022-07-12,2189,Dry Bulk,9.52498288843258,"The free fall boat has not been in the water since May 10, 2022.",There was a fire drill for the galley.,The crew did not know about the 2 valves pointed out by the inspector.,"There is no specific regulation on this matter, but a typical simulating launching sequence is carried out during the management change.",The boat was in the water at Eemshaven.,"The crew was informed that when the ship hand over rescue boats/lifeboats /free-fall lifeboats, they would be lowered and maneuvered in the water.",No
14602,Low,2023-07-28,1119,General Cargo,10.154688569472963,There is a record book of engine parameters.,No NOx verification is done for ME and A/E replacements.,Failure to follow instructions.,Failure to update the record book of engine parameters.,The record book of engine parameters should have been updated immediately.,The chief engineer must educate the engine crew about environmental pollution prevention and the record book of engine parameters.,No
9103,High,2023-12-16,1608,Dry Bulk,10.625598904859686,The temperature in the room was too hot to work on board.,The discharge of water in a port is not required.,The muster list was updated.,For the reason of long service hour and steam passing both inlet and outlet that contributes the tubings to degrade.,The company arranged for a shore technician to fix the air cond. unit after the port state inspector recommended it.,Supply necessary spare parts on board in time for air condition repairs.,No
4113,Medium,2023-03-30,4754,Dry Bulk,9.492128678986996,The alarm panel in the water ingress detector is faulty.,The Chief Officer conducted both tests without any defects and on a monthly basis.,"Defective tools, equipment, materials, and preventive cleaning are some of the things that can be found.","Defective tools, equipment, materials, and preventive cleaning are some of the things that can be found.",The new sensor was successfully fitted during the vessel's dry-docking / special surveys to the satisfaction of the attending Class surveyor.,Master will discuss the deficiency during the next monthly safety meeting in order to discuss the inspection's overall process; the recorded deficiency's contributed factors among to all crew members in order to ensure that sufficient shipboard inspections shall be conducted at all times.,No
18321,Low,2023-08-07,2302,Dry Bulk,15.34839151266256,The exhaust fan in the laundry room is malfunctioning.,"The last maintenance was done on April 2nd, 2024 and the starter panel, noise controls, and vibration level were all found to be in good condition.",Lack of awareness of the importance of securing spare parts.,Poor work standards.,The fan has been replaced.,-,No
7125,High,2024-03-06,1056,Dry Bulk,11.509924709103354,"The crew couldn't demonstrate high pressure leak test, low pressure alarm test and mask seal test.",Poor crew performance during fire drill is related to poor maintenance and lack of central centre of command.,The unit was inspected and repaired.,Insufficient training.,The importance of proper usage of vessel's FFE/LSA equipment was discussed and analyzed.,The PSC Inspection report and lessons learned have been included in the agenda of the monthly scheduled Safety Committee Meeting.,No
