deficiency_code,PortId,VesselGroup,age,deficiency_finding,description_overview,immediate_causes,root_cause_analysis,corrective_action,preventive_action,detainable_deficiency,adjusted_severity
1309,439,Dry Bulk,11.197809719370294,There were no indications or details about the compulsory two-way radio equip in the fire training manual.,"During the inspection at the Port of Novorossiysk, the PSC officer noted a box not being checked in the question of 'at-sea maintenance capability' as per the requirements.",All details for the compulsory radio equipment for firemen have been changed.,The crews are not familiar with the requirements of SOLAS Chapter II-2.,The captain should organize the crew to learn the requirements of SOLAS Chapter II.,Crew in charge will be asked to keep the Fire training Manual up to date.,No,2
16104,3632,General Cargo,22.094455852156056,SSP Confidentiality has a lack of familiarity.,There is a lack of familiarity with SSP Confidentiality on who is not authorized to look into the manual.,"Though the pressure was checked weekly and before each arrival, there was a lower pressure than required at the time of the inspection.",The pressure was self-generated.,The training for the Master and SSO was done by the Internal Auditor after the PSC inspection.,"During office pre-briefing, all Master and Chief Officers are to be briefed on the SSP requirements.",No,2
14499,3146,Dry Bulk,7.871321013004791,The crew in charge of sewage management is not familiar with the system.,The sewage discharge valve to the shore facility on the main deck was rusted at the time of inspection.,The company was told.,Instructions for refreshment training were given for the certification of the approved sewage system along with the holding tank capacity and location following the specific plan.,The next Monthly Safety Committee Meeting will discuss the deficiency.,The next Monthly Safety Committee Meeting will discuss the deficiency.,No,2
1312,892,Dry Bulk,21.67008898015058,The Hull executive summery is not available on the board.,There are certificates and documentation.,"There was no flow of sludge observed due to malfunctioning of solenoid valve which allows air for sludge to return in both ""auto"" and ""manual"" mode Immediate Cause - Substandard Conditions",Insufficient identification of requirements is a problem.,Managers contacted the class to which revised thickness measurement reports were sent.,The vessels have been instructed to check the statutory requirements for all documents.,No,1
14101,457,Dry Bulk,12.933607118412048,There are buckets of paint on the main deck.,Instructions for engaging emergency steering are not clear.,The Venting line of gas sampling line was stock and can't flow gas.,"In order to follow the scheduled maintenance plan on deck as well as in the hatch discharging coamings, the vessel's managers supplied the vessel with sufficient amount of paints and other materials at the previous port of Rotterdam.",The deficiency was closed by the PSC officer after the paint cans were removed from the deck.,The company's procedures for placing the paint and chemical cans under the fixed firefighting system were discussed in the safety meeting after the inspection.,No,1
9132,3083,Dry Bulk,11.498973305954824,The fish store room temperature was -12 degree centigrade.,There is ice in the Fish room due to high temperature and humidity.,Insufficient review instructions.,"When entering and exiting the fish room, the galley crew left the door open for a long time.",The temperature in the fish store room was lowered when the fish room door was closed.,"The company will have a SHEQ meeting in January with the results of the inspection in February. After the meeting, those informations will be distributed to all company fleet vessel with lesson and learned.",No,2
1324,2727,Dry Bulk,5.930184804928132,There is a steering flat with chemicals stored in it.,The MSDS for Monoethylene glycol was not available when PSCO inspected it.,Instructions for correction were provided.,Insufficient product/service design verification is a problem.,The report of the monoethylene glycol was sent to PSCO before departure.,The deficiencies will be discussed in the next safety meeting.,No,1
18420,3106,Oil,12.435318275154003,There is oil on the emergency stand.,The ship staff post completion of a task is referred to in the observation as improper housekeeping.,Failure to secure.,Improper cleaning.,The crew painted the job site to make it look better after cleaning the emergency stand.,Management advised the Master to discuss the contents of the observation with the ship staff to highlight the importance of securing the job site after completion of the task.,No,1
6103,2910,Container,8.818617385352498,Structural members between frame 12 and frame14 will be permanently repaired.,Structural members between frame 12 and frame14 will be permanently repaired.,Substandard acts.,A Condition of class (COC) was issued after temporary repairs were carried out by the shore workshop team.,The COC is issued by the classification society.,Training session for all ships staff included familiarization of open COC's.,No,2
10135,1273,Dry Bulk,6.806297056810404,The passage plan was not adequately monitored in the vicinity of Mecca Reef.,There is a lack of communication.,There is a lack of initial training.,The monitoring ship's position is not taken into account in the passage plan provisions.,There is a review of the passage plan requirements and additional training.,Specific training on Passage Plan prior to signing on/ Toolkit meetings carried out without fail prior to preparing/executing Passage Plan,No,3
10109,4212,Dry Bulk,13.17180013689254,The light was found out of order.,Arcs of visibility are not for NUC lights.,Lack of immigration is a problem.,The personnel were negligent.,The UNC light's fuse was to be replaced and the light was found to be in normal condition.,Emergency lights can be tested at sea or at port.,No,2
10133,709,Dry Bulk,0.9281314168377824,The Navtex receiver was not selected.,The receiving station in NAVAREA is automatically displayed in the selection screen when we look at the instruction manual of the Navtex receiver.,The human cause is Inspector's comment.,The inspector made a comment.,"For satisfying the PSCO, all stations selected by crew as seen after photo and deficiency closed-out, there is no corrective action.",All fleet vessels were given aciency record to increase awareness.,No,2
4109,4434,Chemical,15.698836413415467,The crew doesn't know how to operate the fixed fire-fighting system.,The officer accompanying him showed the hyper mist system operation procedure as per the procedure.,Training for Fixed Firefighting system is not adequate.,Training for Fixed Firefighting system is not adequate.,A safety meeting followed by a training session for fixed fire fighting system for deck and engine was conducted after the inspection by Master and Chief engineer to all crew.,Crew training and verification of understanding will be carried out diligently by the safety officer.,No,2
14810,1309,Dry Bulk,10.765229295003422,There is a discharge violation in the port.,The water overflowed from the air vent.,The information in the Greek language that was noticed by the AMSA inspector during the inspection at the Vessel's Ballast console was an extract from the instructions in the manual of the Vessel's Ballast Treatment system that was installed on the vessel.,The officer in charge left the control room to get the PSC inspector at the gangway.,The pump was stopped.,Training was done for the deck officers to carry out the operation.,No,2
1123,3449,Container,7.679671457905544,The amendments of the RO that issues the DoC are not included in the certificate and documentation.,The amendments of the RO that issues the DoC are not included in the certificate and documentation.,There is no way to display the current temperature of the galley fridge located inside the officer's pantry.,"The subject ship certificate ""continues synopsis record"" was found during the PSC inspection.",During follow-up PSC inspection at the 08.07.20022 at Iquique same presented to PSC inspectors and accepted - respective PSC report A & 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884 888-349-8884,"Prior to the next call to the port of Santiago, all ships were informed about the point of view of the PSC.",No,1
3106,1938,Dry Bulk,8.432580424366872,"There is a window, side scuttles and deadlights.","As a result of the review, the quality of the window glasses is not required in accordance with the convention.",There arefective tools/ equipment.,Insufficient maintenance.,Scuttles were immediately de-rusted and cleaned.,"In the next safety meeting, the vessel will discuss this deficiency.",No,1
18499,4312,Dry Bulk,12.134154688569472,Part of the eye wash was used.,Eye wash bottles are leaking in the store.,The lack of supervision by officers is one of the reasons for the inadequate awareness of crew.,Poor inspection and supervision.,Eye wash bottles were removed from the place and replaced on the spot with new bottles full of liquid and sealed to the satisfaction of the PSC officer.,The PSC report and lessons learned were included in the agenda of the monthly scheduled Safety Committee Meeting.,No,1
18101,1247,General Cargo,13.286789869952088,There is a light for the starboard side.,There is a navigation.,"Although we are thankful for drawing Master's attention to unlit navigation light, we believe that this fact couldn't be recorded as PSC deficiency.",The vessel didn't deviate from the instructions.,"The PSC Deficiency was upgraded to ""code 10 - rectified"".",The vessel was equipped with spare light and alarm.,No,2
18315,1581,General Cargo,22.833675564681723,Vegetables in a cold store were rotten.,Several vegetables stored in a cold store were rotten.,Failure to follow procedure,There is a lack of situational awareness.,Disregard of the particular subject: rotten vegetables.,The awareness was raised in the Quarterly Safety Bulletin.,No,2
10112,3152,Container,22.89664613278576,It is not possible to determine whether the update date on ECDIS is FWD or not.,The counter in the bridge had a deviation of more than 10rpm.,Substandard acts.,The root cause of the above deficiency is Maintenance Program Design / Inappropriate Maintenance type applied.,"Due to was unable to fix the issue at the port of Qingdao, another port was arranged for the port of Singapore.",The monthly safety committee meeting will include the participation of all officers and crew to discuss the deficiencies.,No,2
18432,1281,Dry Bulk,16.246406570841888,A crew is handling a fire hose.,Master requested to dispose Ashore all garbage before departure if next port is not specified.,The tarniee walked by the fire hose that was tied up to the shipside railing during the testing.,Lack of experience in handling a pressurized hose is an inadequate compliance issue.,Training on safe handling of pressurize hoses for all crew.,It will be shared across the fleet.,No,1
7116,3491,Dry Bulk,13.724845995893224,The emergency generator room and the purifier room have broken mesh.,The QHSE team will be notified if the risk rating is high.,Substandard acts.,"Maintenance was done recently, but two mushroom vents were missed.",The broken mesh of mushroom ventilator of emergency generator room was renewed immediately and the same was verified by the PSCO during his follow up inspection.,The staff was told to carry out regular maintenance of the wire mess and to minutely check it.,No,1
7113,1439,Dry Bulk,12.432580424366872,The engineer has to crawl between the pipes to get to the start button and the monometer of the fire pump.,The master instructed the crew to get more training on how to operate the CO2 system in an emergency.,There are human factors.,Insufficiently considered human/ergonomic factor in design.,The requirement of QHSE section 7 Management of change was briefed on by the master.,The Master of the Safety meeting will discuss the deficiency with all crew along with corrective action.,No,2
11119,936,Dry Bulk,13.60164271047228,Two sets of immersion suits were found missing when the store was inspected.,"Two sets of immersion suits were found missing at the time of the inspection, as per the fire control and safety plan.",There are human factors.,The Immersion suits were put at the designated place immediately after the Annual pressure test.,The safety/Fire control plan was followed and the deficiency was corrected to the satisfaction of PSCO.,A meeting was held with all crew to explain the importance of proper housekeeping and ensure that all the items are kept at a designated place after the maintenance.,No,2
18409,457,Dry Bulk,12.793976728268309,Heavy parts stored on deck are not protected from movement.,Heavy parts stored on deck are not protected from movement.,Substandard acts.,The old used spare was not accepted by the reception facility at the port.,The old used spare was secured with wire lashings.,The team discussed the importance of removing all loose items from the main Weather deck and storing them inside the stores before sailing to sea.,No,2
14503,4216,Dry Bulk,11.80287474332649,Garbage Management Plan did not record the training date on the training list.,The water in the tank has not been treated according to the BWMP.,The crew were not familiar with the stripping procedure of the tanks.,The dates of training were not recorded.,The relevant dates in the Garbage Management Plan were updated immediately.,The deficiencies of the PSC Inspection are disseminated across the fleet to raise crew awareness.,No,1
3105,1134,Dry Bulk,14.209445585215606,There is evidence that hatch covers aren't weather tight.,"The over compression of Hatch cover rubber packing has been identified by crew, however on 13 May 20th, all hatch covers have undergone hose test by deck crew with satisfactory results, thus replacement of rubber packing is not an immediate need.",Failure to follow instructions.,The chalk and hose test was carried out with satisfactory results.,Hatch cover rubber packing that is more than allowable limited by the Hatch Cover Maker are to be renewed as per the instructions of the Hatch Cover Manual 'TTS' and tested to satisfaction of the attending surveyor.,"If compression is more than the maximum allowed by the manufacturer, rubber packing, in a length of no less than 1.5 meters, should be used.",Yes,2
4103,2327,Dry Bulk,9.325119780971937,There is a battery room inside.,"There were only self-inspection records on May 7, 2024 and a document with the inspection photos, but the self-inspection record on November 7, 2023 was missing.",Substandard acts.,The PSC officer noticed that the batteries that had been replaced were still inside the battery room.,The deficiency was closed after thebatteries were transferred to the garbage area.,The safety committee will discuss deficiency during the next meeting.,No,1
4109,2852,Dry Bulk,11.498973305954824,There is no instruction in the use of radio life-saving equipment.,It took the crew more than 20 minutes to lower the boat.,Master was unable to give the required documents and information at the time of inspection.,Lack of control and awareness is the underlying cause of inadequate information in the ship's muster list.,The instructions on the use of Radio for Life-Saving appliances have been updated.,The muster list was updated with the instructions for the radio test.,No,2
3111,2318,Dry Bulk,17.97946611909651,There are teflon plugs on the deck of the ballast tanks.,Section 3 includes cargo handling procedures and documents.,There was a small leak from the isolation valve during the inspection.,"For the sake of preservation from being stolen, ship staff deliberately applied the teflon plugs instead of copper plugs without having due regard to the risk of damaged teflon plugs which may compromise the watertight integrity of the ship in adverse weather.",The original copper plugs were put in the deck locker after the inspection.,The sounding pipes and tank covers need to be kept in good working order for compliance with the regulations.,No,2
7123,3188,Container,21.52772073921972,The key people are not familiar with fixed CO2 system.,Disregard deficiency before departure.,Substandard acts.,The root cause of the deficiency lies in the key person's failure to demonstrate the operation of the CO2 system.,The training was done by the Chief Engineer.,All shipboard officers and crew were reminded of the importance of adequate familiarization and training after the deficiency was discussed and analyzed under the supervision of the Master and Chief Engineer.,No,2
7117,490,Chemical,3.162217659137577,The main engine fuel leak alarm is malfunctioning.,The main engine fuel leak alarm was found to be inoperative during the test in front of PSCO.,There is a lifeboat seat that fell due to rough weather.,"When transiting the North Sea, there is a loose connection due to the movement of the vessel.","The alarm was tried out and found to be working, but the plug-in connection was loose.",The senior management was briefed on the importance of checking the plug-in connection at frequent intervals when the vessel is transiting through rough weather.,No,2
8107,2318,Dry Bulk,11.770020533880905,The machinery controls the alarm.,There is an alarm column in the workshop.,The problem with the air conditioning system was caused by the failure of the compressor on the night before the inspection.,Inspection is not done often.,"After checking the condition of each component, I replaced the damaged part with a new spare.",Weekly inspection is needed to avoid the same deficiency in the future.,No,2
10132,1273,Dry Bulk,6.806297056810404,There was a lack of communication between the bridge team and the Reef Pilot in the vicinity of Mecca Reef.,There is a lack of communication.,The gauge glass of the hot well was old and hard to see.,There is a lack of communication and an analysis of the incident.,The additional training is based on the SOM Ch.2 Sect.,"Before signing on, Specifie training on Master/Pilot relation.",No,3
9213,78,Dry Bulk,5.215605749486653,There is a missing manhole.,One two-way vhf radiotelphone apparatus is missing.,The emergency generator was isolated and the supply to the emergency switchboard was cut off.,"As per SOLAS Regulation XI-1/7, the vessel is equipped with additional gas meter in excess of the requirement.","Requisition No.1181097 prepared and submitted to the Office for the provision of a spare gas meter to the satisfaction of attending PSC Officer, which will be delivered in the next convenient Port.",The Monthly Alert Bulletin will be sent to all the Dry Fleet.,No,2
6105,892,General Cargo,6.069815195071868,The attachment for the gas detector is not available.,"After the last use of the gas meter, the officer left the extension hose in the forward store and not in the dedicated location.",Not identified.,There was a build up of cargo residual on the alarm sensors.,The dedicated location of the ship's office is where the hose was placed after the inspection.,"During the monthly safety committee meeting, the Chief Officer and Chief Engineer are tasked to ensure that these are monitored for the next 2 months.",No,2
7109,2800,Dry Bulk,17.607118412046542,The emergency light was found in operation and the cover was damaged.,"The cargo ship safety equipment certificate stated that the navigation equipment was in good working condition, as it was seen by the inspector.","After the vessel reported the failure, the company did not arrange necessary repair service.",There was a crack on the light cover and the emergency light was not lit up during the inspection.,The light bulb and cover should be replaced immediately.,All the alarms should be inspected and tested by the engineer in charge.,No,1
12101,53,General Cargo,12.098562628336756,packaging of dangerous goods,The engine room has a chemical/oil store.,Failure to follow instructions.,Insufficient performance.,Engineers were told to organize this immediately.,There is a new procedure for chemical storage.,No,2
2101,1198,General Cargo,20.83504449007529,There is damage to the tank.,There was serious damage to the side of the tank.,The crane driver didn't pay attention to the damage.,RC13 is about inadequate work standards.,The parties have been told.,M-Scat: Marine is a systematic cause analysis technique.,No,3
14119,3203,Dry Bulk,12.498288843258042,There is a sludge pump in the Engine Room that has oil water rest.,Aft peak tank sounding and piping arrangement will be reviewed and approved by class for storing treated sewage.,Minor leaks came up due to exposure.,There is a lack of maintenance and inspection base on MARPOL Annex I.,A new pipe is going to be replaced.,"periodical inspection will be carried out by C/E, 2/E&3/E.",No,2
10116,457,Dry Bulk,7.457905544147844,There is a back up arrangement for nautical publications.,"After being notified by inspector, a new certificate was sent to the vessel.",Substandard acts.,The main computer unit on the ship was slow and the staff decided to replace it with a new unit.,There is nautical publications software on the new computer.,In case one system is to be shut down then an alternate back up needs to be in place prior to the same.,No,2
14899,3161,Dry Bulk,14.379192334017796,The Ballast Water code is other.,Critical Fire Fighting and Life Saving Appliances / Systems onboard are unreliable due to deficiencies 6 - 8.,Oversight.,The water filter is out of order.,The system was tested and worked correctly.,The company already requested new filters from the maker.,No,1
4110,1002458,Dry Bulk,2.680355920602328,The record of instruction in the use of radio life saving equipment was not found.,The port side quick release life buoy line was not able to be quickly deployed.,The third mate was not aware of the special requirements of the Nav logbook regrading drill record.,The record from the beginning is not comparable.,There was a revision of the January 2024 record immediately.,All records must be comply as per chapter 3 of the book.,No,1
7126,5801,Dry Bulk,9.522245037645447,There is an abundance of oil under the filthy area.,There is an abundance of oil under the filthy area.,"Engine crew overhauled the fly wheel area of Aux Engine No.1, No.3 and the tray of HFO transfer pump but forgot to clean the oil after the routine maintenance was done.",There is a lack of maintenance and supervision.,The area under the engine was cleaned.,The next safety committee meeting will discuss clean lines in the ER.,No,1
7199,3083,Dry Bulk,6.655715263518139,The sound of a drill tank reactor doesn't have self-contained detonation devices.,The discharge of water in a port is not required.,Lack of situational and pollution risk awareness.,"Person in charge should carry out routine inspection and pre-arrival inspection, replace all unsuitable device in time.",The working condition of the self-closing device was confirmed in good order.,"Person in charge should carry out routine inspection and pre-arrival inspection, replace all unsuitable device in time.",No,2
10114,1918,Dry Bulk,11.014373716632443,VDR annual performance test certificate is missing.,The AC malfunction could not have been fixed by the crew and it was reported to the Company.,The fire detection system was not taught.,The root cause was that the master couldn't keep in files the VDR annual performance test certificate.,The PSCO accepted the deficiency corrective after it was obtained and shown the VDR annual performance test certificate.,We checked the company's report forms and found no item for VDR annual performance test certificate.,No,1
11101,1000850,Dry Bulk,15.876796714579056,The antiheat materials on the exhaust pipe are broken.,The engine control room has a 220V feeder panel.,Lack of awareness of the importance of securing spare parts.,The LB exhaust pipe insulation lagging was not damaged by the Lifeboat engine lack of inspection.,The engineer had made a repair to the lagging on the exhaust pipes.,"When conducting the weekly Lifeboat engine test, the engineer should inspect the exhaust pipe and any defects should be fixed immediately.",No,2
6199,1414,Dry Bulk,17.598904859685145,There are many places where the hatch cover lines are corroded.,The pilot ladder was parted and the ship side railing was damaged.,The control valve unit is rusted inside the hatch cover operation box.,There is a lack of maintenance by the ship's staff.,The lines on the main deck have been renewed.,"If spare parts or shore assistance is needed, then head office has to be informed.",No,2
9232,1212,General Cargo,12.865160848733744,The lamp battery can't operate it.,"As part of the pre-arrival checks, the lamp was checked and found in order.","If the detector still worked after carrying the test, the PIC told the vessel to get the new detector.",The cable wire loosened from the plug.,"Good working condition and repaired wire, daylight signaling lamp test.","This finding together with control, root cause and corrective actions applied will be brought to crew attention during regular checks to remind them that sensitive equipment must be handled with care at all times.",No,2
12108,2335,Dry Bulk,8.621492128678987,UpPER DECK ONE SELF-CONTAINED BREATHING APPARATUS FOR THE CARRIAGE OF DANGEROUS WITH INSUFFICENT PRESSURE.,A portable gas detector.,The officer in charge failed to inspect the exhaust gas pipe.,The crew did not conduct the air pressure check and test of SCBA in time because they did not use the relevant drills.,The crew was told to use the air compressor to refill the Upper Deck SCBA.,"In order to remind crew to check and test SCBA and EEBD for immediate or emergency use, ISM PIC requested 3/O to add hydro test into the PMS Deck calendar.",No,2
15104,838,Dry Bulk,5.738535249828884,"The company should include procedures that ensure nonconformities, accidents and hazardous situations are reported to the company, investigated and analyzed with objective evidence of improving safety and pollution prevention.","Ensuring that nonconformities, accidents and hazardous situations are reported to the Company, investigated and analyzed with objective evidence of improving safety and pollution prevention should be included in the SMS.",Refer to NC4 and NC8.,The objective evidence was that the notification procedure was not followed.,"Within 90 days of the audit, the corrective action plan must be implemented.",I don't know.,No,2
11132,831,Dry Bulk,2.6776180698151952,The relevant log book did not record on board inspection records for liferafts.,"There were only self-inspection records on May 7, 2024 and a document with the inspection photos, but the self-inspection record on November 7, 2023 was missing.",The hours were restored July and August.,The previous Third Officer only saved a document with the photos of the test results and did not record them in the log book.,The ship crew took care of the records on site.,The crew was organized to learn from the self-check that was conducted by the fleet.,No,1
9232,1278,Dry Bulk,19.33196440793977,Generator is dirty with oil.,The Boiler is out of order.,The engine personnel determined that the bulb was broken due to the excessive noise in the engine room.,The person in charge did not watch the routine inspection.,The Generators were cleaned by the crew.,The responsible person was told to clean up after the work.,No,1
11129,2270,Dry Bulk,11.624914442162902,Life-saving appliances have an operational readiness.,Lifebuoy is not ready at the time of inspection.,Non compliance with procedures is a human factor.,"While securing the lifebuoy with a rope, the concerned staff did not consider the unavailability of the lifebuoy to be deployed immediately in an emergency situation.",The ropes were removed.,The attending vessel manager briefed the entire ship staff.,No,2
1134,1750,Dry Bulk,8.498288843258042,The flag of Brazil is not standardized.,"In this way, the steering gear units can be started from a distance with possible fatal consequences for the crew working on the steering machine.",The acts are substandard.,The Brazilian flag was one side and not the other.,A new two-sided Brazilian flag was given to the vessel.,"If the flag is found to be not presentable, a coordination will be made with the office.",No,1
14608,3290,Dry Bulk,9.158110882956878,The Boiler is out of order.,The Boiler is out of order.,The engine personnel determined that the bulb was broken due to the excessive noise in the engine room.,There was insufficient monitoring by the person in charge.,The light bulb was replaced by the ship crew.,Engine personnel should be aware that light bulbs are prone for damage at sea and at berths.,No,1
18430,2135,Dry Bulk,8.0,There was no evidence that the ship safety commission implemented their guidelines for cargo operations in the port.,Low.,Poor safety awareness and supervision.,"The safety alert for cargo operation is recorded in the monthly safety committee meeting record, but there is no description of each member's duty.","All relevant crews have a safety meeting on the day, learn about the main point of safety committee meeting, master stressed that everyone should be familiar with their duties, especially the duty of safety during cargo discharging in port.",Every ship in the fleet is reminded to pay close attention to relevant deficiency and keep in mind the important of safety in all aspects.,No,2
2112,3574,Dry Bulk,10.42299794661191,The Hull was noted with some kind of problem.,There was a long period of sailing from the previous dry dock.,Delays of maintenance were caused by previous port restrictions.,Poor supervision and maintenance.,Will be done in the shipyard.,Special attention needs to be paid to the dry dock when the hull needs to be painted and when the crew needs to protect it.,No,1
14101,467,Dry Bulk,15.326488706365502,The approved method of sludge disposal was not used by the vessel.,The maximum capacity of the stuffing box drain tank was different from the IOPP certificate supplement.,Lack of training.,The Chief Engineer failed to follow the current supplement to the IOPP certificate requirements.,The method of sludge disposal that was not approved was stopped until the new IOPP certificate arrived.,The Chief Engineer was talking to the Energy and Environmental Management Supremo.,No,1
7103,3625,Dry Bulk,13.130732375085556,Division decks are not required.,There are chemicals found under the main staircase in the upper deck.,Chemicals are kept in an undesignated area.,"When the job was not done for the day, the deck crew kept the chemicals under the stairs.",Chemicals used for cleaning were moved to the Chemical locker.,"During the Safety meeting conducted by the Master, he emphasized the need for awareness regarding handling hazardous chemicals and the possibility of injury to staff when not using proper PPE for handling the chemicals.",No,2
18318,3198,Dry Bulk,8.733744010951403,"On a daily basis, the temperature log shows a temperature of -15 to -16.",The inspector's comment is acknowledged.,Substandard acts.,Crew did not pay attention to the exact temperature limits because it was believed that there was a small fluctuation.,"After the correct adjustment was made, the unit run normally.",There is a poster next to the temperature displays.,No,2
18428,4434,Dry Bulk,2.757015742642026,The COVID-19 spread protection policy is not implemented at ship's access point.,The Malfunction/failure of BWTS 2nd unit is not reported to Canadian Authority and the IBWMC is in short term.,The certificates for the diesel generators were not original.,"Gangway Duty O/S fail to follow the Company's policy to keep all visitors check their body temperature, either they will proceed to deck or inside accommodation.",Conducted re-training of all crew regarding the company's Infection Prevention and Control System Manual.,The Duty Office and the Safety Officer must remind the Gangway Watch to take the body temperature of all visitors going onboard.,No,2
18414,2302,Dry Bulk,13.735797399041752,There is a blind cover in the Engine Room.,Outside the Engine Control room there was a bad smell.,The engine room duct was not inspected and the Blind cover was not noticed by the ship staff.,The crew failed to detect the condition of the duct blind cover during routine checks.,The old blind cover was replaced with a new one.,All Blind Covers in the Engine Room were checked.,No,1
10123,486,General Cargo,2.7679671457905544,The expired publication was found during the inspection.,There was an oil stain under the drain valve of the oil tank for the Hatch Cover system.,The contents of the SOLAS Training Manual were not checked by the officer in charge.,"Due to the epidemic, the application was unable to supply ships.",The master and PSCO were satisfied with the verification.,2nd Officer will make sure the publications are updated at all times.,No,2
1218,232,Dry Bulk,10.22861054072553,Period of validity is more than 2 years.,The battery for the electrical safety lamp of the fire fighter's outfit expired during the inspection.,There is a lack of awareness.,Master didn't notice the difference between examination and issue date while checking crew documents.,The crew department and STATUS Manila crew management have been made aware of the discovery.,The crew will be briefed at the first safety meeting about the subject of finding and how to avoid similar occurrences.,No,2
11122,2893,Dry Bulk,12.48186173853525,One of the two way vhf radiotelephone sets has a completely discharged battery and the knob for power and volume is broken.,Fire doors that are self-closing are not closing properly.,It's not like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it,Poor inspection and monitoring.,"To the satisfaction of the PSC, it was rectified and tested.",There is an additional safety committee meeting to discuss PSC deficiencies and training of ship staff.,No,1
