PscInspectionId,deficiency_code,annotation_id,username,annotation_severity,def_text,InspectionDate,VesselId,PscAuthorityId,PortId,VesselGroup,age
1674226,1308,42731279,sunil,,"PscInspectionId: 1674226

Deficiency/Finding: Record of Rest hours for three crew members (C/O Gaydarzhi Igor, A/B Mendoza V. Daniel, O/S Gatoteo John Lorence) on November 21st, 2022 not reflecting the actual condition (port side L/B in water, maneuvered and try out engine/sprinkler/on load release gear). Drill recorded as rest hours.

Description Overview: UNKNOWN

Immediate Causes: Immediate Cause-Substandard Acts/Practices 2:Failure to follow Procedure / Instructions Monitoring of crew rest hours

Root Cause Analysis: Basic/Root Cause-Personal Factors 5:Lack of Competence 5.5:Misunderstood instructions / information Training to C/O for monitoring/planning of crew rest hours to be provided by Master.

Corrective Action: Retraining to the C/O in how to make proper rest hours entries to be provided by Master This training and this e-mail will be proof as rectification of this deficiency. Responsible : Master, Marine Superintendent Due on : 25-Jan-2023 Corrected : 13-Jan-2023 Verified/Closed on : 04-May- On 2023

Preventive Action: Retraining to the C/O in how to make proper rest hours entries to be provided by Master This training and this e-mail will be proof as rectification of this deficiency. Responsible : Master, Marine Superintendent Due on : 25-Jan-2023 Corrected : 13-Jan-2023 Verified/Closed on : 04-May- On 2023

Deficiency Code: 1308

Detainable Deficiency: No",2023-01-11,296138,9,1000219,Container,8.361396303901437
1819040,18327,42672526,guru,,"PscInspectionId: 1819040

Deficiency/Finding: ENGINE CONTROL ROOM OVERHEAT.

Description Overview: UNKNOWN

Immediate Causes: UNKNOWN

Root Cause Analysis: Condenser and cooling pipelines accumulated dirt and debris, which impaired the efficiency of the cooling system.

Corrective Action: 1. The condenser and cooling pipelines of the air conditioning system were cleaned and cleared of any blockages. This immediate action restored the cooling efficiency and brought the ECR temperature back to acceptable levels.

Preventive Action: 1. Review PMS for monthly checks of the air conditioning system's performance and quarterly detailed inspections of all critical components. 2. Maintain an adequate inventory of critical spare parts for the air conditioning system to ensure quick replacements can be made in case of component failures. To verify during Internal Audits and Superintendent inspection. 3. To share lessons learnt with office staff as well as the fleet to review/discuss and correct where required to avoid similar finding.

Deficiency Code: 18327

Detainable Deficiency: No",2024-06-04,289717,7,1918,Dry Bulk,13.010266940451745
1776403,1331,43008137,sunil,,"PscInspectionId: 1776403

Deficiency/Finding: Collective Bargaining Agreement not placed on conspicuous site to reach easily.

Description Overview: CBA (COLLECTIVE BARGAINING AGREEMENT) NOT PLACED ON CONSPICUOUS SITE

Immediate Causes: UNKNOWN

Root Cause Analysis: Although same is not a requirement, PSC Officers requested the vessel to have posted CBA, as well.

Corrective Action: CBA was posted immediately, to the satisfaction of the PSC Officers.

Preventive Action: Deficiency will be shared with all managed vessels in due time. Subject to be discussed within the next Health & Safety Meeting.

Deficiency Code: 1331

Detainable Deficiency: No",2024-01-03,305304,9,3378,Dry Bulk,4.339493497604381
1639252,1108,43008725,sunil,,"PscInspectionId: 1639252

Deficiency/Finding: CERTIFICATION AND DOCUMENTATION - Load line certificate used on board exceeds the limit of Freeboard assignment certificate

Description Overview: UNKNOWN

Immediate Causes: UNKNOWN

Root Cause Analysis: Master oversight / clerical error, leads to documentation misled.

Corrective Action: Class head office was Immediately informed for the missing Freeboard Assignment report and was re-issued and sent on board.

Preventive Action: When renewal / issuance of certificates is taking place, all Masters on board should check meticulously all certificates. Especially for multiple Load Line certificate, Master shall verify each one Load Line certificate is accompanied by its corresponding Load Line Assignment.

Deficiency Code: 1108

Detainable Deficiency: No",2022-09-01,285496,9,3063,Dry Bulk,11.19233401779603
1668228,4101,43245015,mihhail,,"PscInspectionId: 1668228

Deficiency/Finding: Found PA system not working properly, tested several places

Description Overview: UNKNOWN

Immediate Causes: Because of rain water/sea water spray, the speaker got damaged few parts , defective cable connection, did not worked properly .

Root Cause Analysis: Lack of supervision , lack of maintenance & monitoring , monthly/weekly checks not done.

Corrective Action: Immediately checked the cable connection and rectify , damaged speaker been replaced , possible corroded areas been covered to protect from weather .

Preventive Action: It has been discussed with crew and trained that PA system must be checked and inspected at regular interval ,

Deficiency Code: 4101

Detainable Deficiency: No",2022-12-14,299958,7,2318,Dry Bulk,6.535249828884326
1720979,7113,43267510,mihhail,,"PscInspectionId: 1720979

Deficiency/Finding: DRAIN COCK FOR THE U TYPE LINE ON PORT SIDE MAIN DECK FOUND BROKEN

Description Overview: UNKNOWN

Immediate Causes: The broken drain cock for the U type line on port side main deck was not found during routine inspection and not maintained in good condition due to negligence and complacency

Root Cause Analysis: Lack of compliance with proper inspection and maintenance of U type line due to:
1. Lack of training and familiarization with proper inspection of U type line
2. Lack of skill and motivation on proper maintenance of U type line
3. Substandard instruction for procedure compliance to carefully check U type line and maintain it in good condition
4. Lack of proper system monitoring to ensure proper PMS implementation of U type line

Corrective Action: 1. The drain cock was immediately replaced with new on 19 June 2023
2. The deficiency was verified and closed by MSA China at ZHENJIANG on 28 June 2023

Preventive Action: 1. Superintendent is to train and motivate all crew members especially officers and engineers on proper PMS implementation on board including proper inspection and maintenance of the U type line on deck
2. Chief Officer is to check all pipes including the U type line on deck monthly Other crew members are to inform Chief Officer if found any defective pipe on deck during routine maintenance The defective pipe and its accessories are to be repaired immediately for normal operation on board
3. Superintendent is to take careful deck rover during physical ship inspection on board and verify whether any defective pipe
4. This defect must be checked for its compliance by superintendent in 3M and verification must be done in 6 months. All fleet vessels to be reminded by DPA through a fleet email message to ensure such defects do not occur their vessels with a sustainability of 6 months.

Deficiency Code: 7113

Detainable Deficiency: No",2023-06-21,293726,9,2302,Dry Bulk,9.634496919917863
1636333,10111,43279029,mihhail,,"PscInspectionId: 1636333

Deficiency/Finding: Chart 3315 not updated

Description Overview: UNKNOWN

Immediate Causes: UNKNOWN

Root Cause Analysis: Found one missing correction from year 2021 on chart 3315

Corrective Action: Crew performed correction of chart during inspection

Preventive Action: Crew will perform more careful check if all charts are corrected including the past corrections

Deficiency Code: 10111

Detainable Deficiency: No",2022-08-22,273856,7,235,General Cargo,21.765913757700204
1731148,14602,42813759,man,,"PscInspectionId: 1731148

Deficiency/Finding: Record book of engine parameters not recorded properly.

Description Overview: UNKNOWN

Immediate Causes: Failure to follow procedure/instruction.

Root Cause Analysis: Inadequate monitoring/recording of standard compliance. Failure to update the record book of engine parameters.

Corrective Action: 1. Immediately updated the Record book of engine parameters as per maintenance record (CMAXS).

Preventive Action: 1. Chief engineer to educate engine crew about SMS / S-P-08.10.00 Environmental Pollution Prevention Ch.4.6.4 Nitrogen Oxide Emissions from Diesel Engine, Ch. 4.6.5 Record book of engine parameters ; SMS / S-P-08.30.00 MARPOL Compliance Checklist Ch. 5 Documents Z-083000-01CHK MARPOL Compliance Checklist (Vessel Company) Annex VI; MARPOL Annex VI Regulation 13 - Nitrogen Oxides (NOx)
2. All engineers to include item on handover notes.
3. The Head of the department discuss the proper purpose of Record book of engine parameters must be properly recorded.
4. Company will share this deficiency by surveillance activity to check the Record book of engine parameters for all managed ship by end of August 2023.
5. Vessel Manager / company staff will discuss with all crew regarding each deficiency at next convenience port.

Deficiency Code: 14602

Detainable Deficiency: No",2023-07-28,291790,9,1119,General Cargo,10.154688569472963
1671888,15108,43177571,man,,"PscInspectionId: 1671888

Deficiency/Finding: There is no documentation show that AB have a rest days to recover.

Description Overview: On the voyage from Krishnapatnam to San Lorenzo, the ship staff was involved in hold cleaning operation using hydroblaster. On 12th October 2022, during the hold cleaning operation, the hydroblaster handle slipped from one of the AB's hands and the high-pressure freshwater jet had hit his right leg and he suffered a minor injury. Immediate first aid was given to the injured AB, medical advice was seeked from CIRM and further medication was provided. Post-accident, the AB was given 7 days rest and same was recorded in the work & rest hours using SS (ERP system which is approved by LR). Subsequently AB had resumed work on 19th October 2022 which is also indicated in the rest & work hours log. An accident report was created in the Ship Sure (company's ERP Platform) which contains all relevant details of the accident which was reviewed and closed out by the superintendent. The accident report that was presented to the PSCO did not indicate that the AB was rested post-accident. It was explained to the PSCO that ship staff had inadvertently missed to include the number of days the AB was rested in the accident report, however Master clarified that the rest provided to AB was duly captured in the work & rest hour log for the month of October. Sighting the PSCO observation, the number of days the AB was incapacitated (off-duty) was immediately entered in the accident report and filed onboard. Master including all officers and superintendent in office was briefed by HSEQ Manager to include all details in the accident & incident forms / review & confirm that all details are adequately captured prior closing the report in SS.

Immediate Causes: UNKNOWN

Root Cause Analysis: Inadequate Record Keeping: Though there was provision to indicate number of days the crew member was incapacitated (off duty) in the accident report, the ship staff had inadvertently missed to include the number of days the AB was rested post-accident. Inadequate Review of Accident Report: The details entered in the accident report was not adequately reviewed and closed out in SS.

Corrective Action: Sighting the PSCO observation, the number of days the AB was incapacitated (off-duty) was immediately entered in the accident report and filed onboard. Master including all officers and superintendent was briefed by HSEQ Manager to include all details in the accident & incident forms / review & confirm that all details are adequately captured prior closing the report in SS.

Preventive Action: Human Elements: Master including all officers and superintendent was briefed by HSEQ Manager to include all details in the accident & incident forms / review & confirm that all details are adequately captured prior closing the report in SS. Verification: Post incident further review of near miss / unsafe act & condition / accident & incident report reviewed and confirmed all in order. The superintendent shall ensure that all details are adequately captured in the accident report prior closing out the report in SS. Lessons Learnt: This observation shall be shared with all fleet vessel to review the near miss, unsafe act, unsafe condition, accident & incident report in SS and confirm that all relevant information's are adequately captured and closed out. The importance of proper record keeping was reiterated to all vessels to avoid similar lapse in near future.

Deficiency Code: 15108

Detainable Deficiency: No",2022-12-29,302668,8,813,Dry Bulk,5.905544147843942
1634936,11102,42938307,ranjit,,"PscInspectionId: 1634936

Deficiency/Finding: During PSC inspection, free fall helsman's window found very slippery. Furthermore freefall lifeboat's compass found with a big deviation (about 130 degrees); during the inspection, crew reduced partially the deviation to about 40 degrees. Lastly, freefall lifeboat's RR bands and forward bitt found in very poor condition.

Description Overview: UNKNOWN

Immediate Causes: UNKNOWN

Root Cause Analysis: · Magnetic compass affected by ship's superstructure when being in storage position on B Deck and shore cranes while vessel is alongside. Furthermore magnetic Compass was affected by the vessel's cargo (steel coils).
· Inadequate inspection RetroReflective straps by Safety officer.
· Inadequate identification of defects of LSA equipment during shipboard drills.
· Inadequate supervision by responsible officer

Corrective Action: 1. New lifeboat magnetic compass was received and installed prior vessel's departure from port as per attached invoice.
2. Retro reflective tapes were replaced as per below picture
3. The fwd bitt was derusted and painted as per below picture.
4. New glass for helmsman window was ordered to replace the current one.

Preventive Action: 1. SMS Form DECK 112 ""Shipboard Safety Officer Inspection Check-List"" was revised to include the following specific instruction:
Lifeboat(s) & associated Lowering equipment :
. examine and verify that same is/are secured well and in good condition ready for immediate use?
. Verify helmsman window is clean and visible to see outside
· Magnetic compass without bubble / without excessive variation from ship's standard magnetic compass
. Lifeboat RR bands in good condition
. securing bitts free from rust and in good condition
2. A safety committee meeting conducted by Company's Deputy DPA on 19-08-2022 where the root cause of this deficiency was discussed and the importance of the proper maintenance of the lifeboat's equipment has been highlighted, too.
3. Intensify the onboard safety officer & deck crew training. During drills provide sufficient instructions to officers and crew to report any defect observed on LSA equipment deployed.
4. Deficiency circulated fleetwide through PSC Alert Bulletin to verify condition of magnetic compass / RR straps & lifeboat Bitts on every Company's managed vessel.
5. Deficiency included in the agenda of company's Monthly Newsletter Safety Bulletin, which is circulated to all company's personnel onboard & ashore to their awareness in this issue.
6. To avoid repeated Deficiencies and ensure that all PSC Deficiencies are considered by crew onboard, a ""Deficiency Prevention Booklet"" to be prepared by Company's HSQE Dept and distributed fleetwide to all ship's crew in order to improve the Safety Culture onboard.

Deficiency Code: 11102

Detainable Deficiency: No",2022-08-17,295437,7,439,Dry Bulk,6.792607802874743
1815126,11108,42941710,ranjit,,"PscInspectionId: 1815126

Deficiency/Finding: THE LASHING BAND OF THE ALL LIFERAFTS ON BOARD WERE CUT OFF.

Description Overview: UNKNOWN

Immediate Causes: UNKNOWN

Root Cause Analysis: 1. The responsible crew (3/O) lack of knowledge about LSA equipment. 2. Chief Officer careless inspected about this item according to company PMS and procedure. 3. Captain not well supervise the LSA on board as per company procedure. 4. Captain did not give enough training to crew.

Corrective Action: 1. Immediately applied for the qualification service company to re-lashing all life rafts with new band. 2. Training crew about the SMS chapter of Guideline on Maintenance of LSA and the liferaft operating instructions at once. 3. The deficiency was closed during re-inspection by PSCO on 22nd May 2024.

Preventive Action: As a precautionary measures for avoid the similar defects again, 1. Relevant personnel were trained and enhanced about the SMS chapter of Guideline on Maintenance of LSA and the liferaft operating instructions to avoid the similar problems recurrence 2. Enhance cross check onboard and supervise crew to keep well maintenance. 3. Fleet vessels to be notified same to avoid happened again.

Deficiency Code: 11108

Detainable Deficiency: No",2024-05-21,288313,9,1002458,Dry Bulk,13.5523613963039
